region,segment,total_pop,c,dk_100_HU,dw_100_HU,affpop_100_HU,dk_avg_HU,dw_avg_HU,affpop_avg_HU
I - Ilocos,poor,671086.4643599999,17753.718769299645,3175161289.2506533,32560673580.620605,264046.47138012055,180719938.94054934,1858792589.4624898,15263.324157920068
II - Cagayan Valley,poor,553615.5144500001,18256.168037160234,4289060230.3743114,37845557468.45983,404366.7316705909,306045482.08703995,2742370212.5428557,28019.83192018352
III - Central Luzon,poor,1242070.9054500007,17592.904111158314,5013702339.343269,53502781166.13131,488593.773737303,239773622.78397638,2595373627.1928787,23236.93106730575
V - Bicol,poor,2172414.55326,17100.77043008588,15473579551.5376,179882936901.7999,1062024.0160315402,783311958.763811,9568737438.817757,50971.74017793592
VI - Western Visayas,poor,1728396.827070002,17025.90962690572,1247788134.0211174,13713880662.720354,89655.15042162394,59053695.883657046,644827751.9664305,4262.883544091541
VII - Central Visayas,poor,2057478.6562499998,15858.848545748344,1846828035.837704,23893092784.05564,166788.50424762757,89036663.85882145,1148016276.7886806,8108.1138762510045
VIII - Eastern Visayas,poor,1756744.0932299998,15998.01810547529,6653486555.946992,70161337479.10786,569993.0778397628,352761348.7930289,3810756470.5235224,29778.36375515547
IX - Zamboanga Peninsula,poor,1274657.2543300004,15761.321396125459,19394256.02019567,206860968.05896884,1395.1597485825723,1544618.062912056,16122814.349252101,112.40392094806091
X - Northern Mindanao,poor,1720472.2186700013,15236.02124854717,262703440.849323,3227774148.0133514,25200.68568208206,19382273.986652464,239170196.7388199,1817.9817761647746
XI - Davao,poor,1092200.2443500003,16806.004503817057,33053929.476739556,392161403.76566625,2472.997117677564,2938516.8900789786,34400895.107383296,221.51868938735225
XII - SOCCSKSARGEN,poor,1716648.8411199981,14470.789104175396,3997448.922601029,59197044.53126247,342.854627925375,502613.00930807524,7621701.488913657,43.489089099002975
NCR,poor,494630.28299000004,18243.531108047508,911564968.8026129,9798653073.481102,80088.00104990209,41274661.745106034,434065093.96075565,3640.8151069183436
CAR,poor,351589.9796599997,16903.38204893344,438345049.82822835,4185603154.158185,55524.530112859444,26611953.826256596,250080940.80631325,3371.1673201468516
ARMM,poor,1990503.351059999,15295.210796247506,61707123.303631306,617926076.7056612,4775.197015564582,5323800.4903441705,51081602.67433342,413.5051501275384
XIII - Caraga,poor,1062312.18507,16063.674858877814,744849333.920974,8889938015.267279,67829.28247523375,31369475.893005505,378586531.0050763,2817.641089366012
IVA - CALABARZON,poor,1287966.0379000006,17655.312144880154,5596293512.310925,62829881716.39434,502578.6043948879,270684488.23979366,3144506956.852097,23072.37735936495
IVB - MIMAROPA,poor,754222.1383,16339.748834959957,1307793959.1332204,14755954810.771614,93830.29361837536,60922246.6026457,693599749.1245493,4373.842140407567
I - Ilocos,vulnerable,1704704.7190699999,29765.18473036564,11088474183.267399,43162974388.709015,670735.1283634434,649583899.665784,2558222402.395815,38772.143535208466
II - Cagayan Valley,vulnerable,1209800.93461,29672.936633446094,13021244021.43148,47772056552.53689,883651.6266822475,920501256.5485184,3447224345.5359178,61230.977022618645
III - Central Luzon,vulnerable,2972178.626349999,30051.488962230935,18239029644.862732,81576102348.28488,1169166.7238140292,892170444.3681606,4053520257.998194,55604.1604043471
V - Bicol,vulnerable,2157844.5285499995,28638.31275024679,20088544346.617226,93086135089.39217,1054901.1968012182,1028545551.25939,5022480758.44364,50629.88115623598
VI - Western Visayas,vulnerable,2729578.183910002,29553.11476942026,2932986350.6081038,12490710114.484747,141588.28507044175,140753024.53325355,606141306.7615719,6732.177321932771
VII - Central Visayas,vulnerable,2179981.0246800007,29797.30550277567,3040021714.0163455,12833382699.473856,176719.09902447503,148917857.2286829,630195720.9957395,8590.87132810776
VIII - Eastern Visayas,vulnerable,1415261.49738,28709.278250662926,7799175450.339599,28413650304.12473,459195.65629877034,411778334.4178166,1521541478.6386442,23989.93219334535
IX - Zamboanga Peninsula,vulnerable,1226610.4436599999,28667.90019815873,28192463.66743359,116970383.591212,1342.5707282268336,2251728.9485931196,9137743.453961853,108.16697812283383
X - Northern Mindanao,vulnerable,1235348.5345600005,28968.731806043652,308183971.00955826,1274468426.246221,18094.81710279132,22688726.251940697,94720099.16714054,1305.3632012599855
XI - Davao,vulnerable,1540536.330769999,29849.386054381845,64737823.44423391,280747273.1634426,3488.1350058102785,5835219.196318993,25191319.634543866,312.4496544576981
XII - SOCCSKSARGEN,vulnerable,1410447.6388399994,29143.890520504377,5147105.530856951,22263605.733774234,281.6991389498213,654396.3137264021,2909131.6075237226,35.731875713714096
NCR,vulnerable,2461808.7255800012,31249.404702342264,6069871418.419996,25514867026.367958,398603.4551040525,273789193.624296,1157063797.8909836,18120.58563065429
CAR,vulnerable,446641.60203999985,29223.431573936912,948302249.4281254,3686913340.3148313,70535.47176204452,56302987.59776083,219070048.3049139,4282.555418875567
ARMM,vulnerable,1227511.81902,28366.25613163679,64177806.24593171,278360891.8209642,2944.788197233163,5554660.631864017,22958463.480556272,255.00206203465598
XIII - Caraga,vulnerable,836291.1650499998,28979.225669292235,907052073.9438769,3520310406.710733,53397.70216603605,37327858.891611084,146253948.6460366,2218.1505422187956
