region,segment,total_pop,c,dk_100_HU,dw_100_HU,affpop_100_HU,dk_avg_HU,dw_avg_HU,affpop_avg_HU
IVA - CALABARZON,vulnerable,3671273.5576800006,30223.704166161722,21797325765.789448,92857929382.31392,1432571.5792778719,1051961188.8977063,4629521059.676266,65766.49260904494
IVB - MIMAROPA,vulnerable,1000403.44273,29811.881157405245,2664620332.3357763,11108575509.147617,124456.89936888653,125290773.33900508,528881881.2632764,5801.4827635314505
I - Ilocos,secure,2212971.56161,60266.393511990034,24085011766.910587,30673379214.241673,870718.3994016857,1388960290.0315137,1782074289.8960748,50332.26579726154
II - Cagayan Valley,secure,1405597.2927,59733.515104624894,26846463613.30624,32826609299.44441,1026663.3944657325,1919823076.839155,2387446894.9670215,71140.70841754925
III - Central Luzon,secure,5565064.342409998,61395.880429670906,60948589021.85773,81731625982.26712,2189130.8911739555,2949123867.487601,4007881779.588047,104112.4270299623
V - Bicol,secure,1375046.1398600005,59888.494137018606,20348431216.239822,28907527649.307606,672216.0931445428,1032394189.7683789,1545167190.8877945,32262.946530366607
VI - Western Visayas,secure,2578864.9665899994,61851.96627140466,4456662201.347836,6394644444.245501,133770.5108430628,210745971.99529293,303385326.5600027,6360.461241500224
VII - Central Visayas,secure,2450184.360130001,59824.59022538368,5748501624.309438,7769061850.630666,198623.00068854663,280514888.6488882,377355990.04243654,9655.688893488741
VIII - Eastern Visayas,secure,1054547.1101700002,60800.48719717106,9312327353.668129,11076729019.918818,342158.28894443874,491190382.3833522,585738628.2244284,17875.504784451776
IX - Zamboanga Peninsula,secure,976721.6918099995,62025.31670276805,34577663.71875123,46515925.72250485,1069.0582000390796,2761112.0010814797,3670620.572844414,86.1308775057145
X - Northern Mindanao,secure,1289983.3694900004,59857.95898733086,548477343.3919578,686814148.0308158,18895.08303409927,39661843.83387141,50439874.069965325,1363.0945224453367
XI - Davao,secure,1772494.679239999,60816.68341735163,119502447.38215241,169920591.99200356,4013.3430252691546,10651566.630118363,15060361.077918299,359.4951569755157
XII - SOCCSKSARGEN,secure,1184920.6884400002,58281.836545886865,7006912.03327944,9401219.06111039,236.6561710379394,881830.0116843304,1210967.405208527,30.01844067374813
NCR,secure,7042951.452199998,64503.760920692046,32879412514.08751,44879018302.163025,1140358.6126763823,1494014722.4497411,2050893784.496091,51840.91012272426
CAR,secure,708642.0765400003,61260.94937698611,3042778379.6011596,3649178580.1923447,111911.6601563399,186714007.76558316,225992875.72337368,6794.707324773171
ARMM,secure,459963.29282000026,49470.41302319013,33278107.892247986,49313905.50748587,1103.447196898045,2824125.1426463407,3996031.616305034,95.55230859039017
XIII - Caraga,secure,630688.85258,60305.23823107286,1124057229.8873136,1385686763.4463,40269.868817151015,46378220.90998487,58058265.46779138,1672.8178878202498
IVA - CALABARZON,secure,7097801.364199991,63326.52619910048,76368627627.42946,98296255667.06624,2769640.6573794438,3618785862.8323417,4776505984.682079,127148.65662424605
IVB - MIMAROPA,secure,994392.6613399996,60261.75759840496,4242969982.3855343,5894401989.321393,123709.11784132362,198587748.96256137,276895660.62222373,5766.625381859232
I - Ilocos,middleclass,547237.0422400004,174706.95892363627,15228396037.663586,3820172120.352088,215316.53175238537,902609019.0646994,228306180.52613303,12446.468242950259
II - Cagayan Valley,middleclass,328886.5557600002,190682.36181697235,17731783189.505955,4101315498.9171968,240222.28093660084,1287763993.1530268,296554333.9953619,16645.751017939645
III - Central Luzon,middleclass,1319586.4310100016,184802.67205293983,38483416013.87213,9341217466.233168,519086.0773492845,1876966358.9375858,464430594.4497325,24687.108280361972
V - Bicol,middleclass,326794.5421400001,177766.2390189111,11573606055.224178,2820539675.7284684,159759.40298314407,577440005.8187178,144976557.89899328,7667.6371314724975
VI - Western Visayas,middleclass,667559.5014699998,214590.568879093,3061367713.553077,740142738.8862859,34627.549982914454,144767089.00662476,34341592.280311614,1646.455471885199
VII - Central Visayas,middleclass,759155.7419499998,193027.9668113526,4770234112.496276,1186403444.5890775,61540.59013259251,232556136.22931427,57210204.568778925,2991.6816812861784
VIII - Eastern Visayas,middleclass,310647.5598199999,205462.66815659124,7906231727.0483,1407519225.5567281,100792.68769286324,450191427.67643934,76578603.47509423,5265.750470783145
IX - Zamboanga Peninsula,middleclass,286710.1954399999,188429.63617594822,26794781.053798616,6356145.756414448,313.8149669860756,2054087.5368565517,475106.0179796665,25.283149673188486
X - Northern Mindanao,middleclass,460895.83608000027,174398.0837250337,491370463.1093197,119720905.82785653,6750.990205590948,36735227.434121475,8786091.611819182,487.0175883173519
XI - Davao,middleclass,557868.4304099999,185688.40715849568,93800399.74820836,23125949.124522425,1263.1447645099918,8490443.445322137,2048278.3611664325,113.14617827113523
XII - SOCCSKSARGEN,middleclass,287183.10394000023,209950.2776959827,4707929.349824597,914224.7649088984,57.35713320585883,611292.2499062772,120586.80423429326,7.275414339735572
NCR,middleclass,2652309.6908900025,197222.6512718268,33917252643.551857,8332555681.414132,429448.3953239031,1545117294.8447616,377914300.1494681,19522.802228050128
CAR,middleclass,276626.45048999984,169326.18885912086,3061478061.269285,772018052.5734122,43685.982447789465,180249934.41281345,45720640.235479765,2652.3908635903726
ARMM,middleclass,28921.97828,172611.89080672507,4904211.706817207,1254733.3891261404,69.38352768576505,437824.2327883529,105505.04490061218,6.008222475128253
XIII - Caraga,middleclass,187407.76551000003,179779.27834616115,866790914.4429381,198774827.93575755,11966.100402013675,35582343.12258804,8163036.290682701,497.07405034843987
IVA - CALABARZON,middleclass,2070158.8747099985,183625.54288443082,59998058342.03326,14883791895.890776,807798.907356145,2873426706.18702,725810938.9652576,37084.43029214088
IVB - MIMAROPA,middleclass,340281.79860999994,198558.5040289485,3749740294.402667,716373119.2890648,42333.33848901838,171140298.9878587,33293478.344435316,1973.3428585493148
