region,segment,total_pop,c,dk_100_EQ,dw_100_EQ,affpop_100_EQ,dk_avg_EQ,dw_avg_EQ,affpop_avg_EQ,dk_100_HU,dw_100_HU,affpop_100_HU,dk_avg_HU,dw_avg_HU,affpop_avg_HU,dk_100_PF,dw_100_PF,affpop_100_PF,dk_avg_PF,dw_avg_PF,affpop_avg_PF,dk_100_SS,dw_100_SS,affpop_100_SS,dk_avg_SS,dw_avg_SS,affpop_avg_SS
I - Ilocos,poor,671086.4643599999,17707.600741015893,3221151989.1856923,35272533988.641594,225907.1323171457,101768348.15022042,1292631518.4407763,5696.565823710552,3175161289.2506533,32560673580.620605,264046.47138012055,180719938.94054934,1858792589.4624896,15263.324157920068,713347901.8090806,7047398824.591919,58904.113624221536,38814402.59886186,386662573.05566347,3195.049647584239,51119946.01368831,523486555.16430354,4322.3361063346165,2280053.29766203,23797298.73843137,191.635397078606
II - Cagayan Valley,poor,553615.5144500001,18234.249689555523,939854134.843795,8805040823.096521,73570.76157398186,32115923.1149312,302483884.11530566,2512.0737903179092,4289060230.3743114,37845557468.45983,404366.7316705909,306045482.08703995,2742370212.5428557,28019.83192018352,797826478.7010499,6687530594.825411,73527.79313059898,32215293.681323405,268924886.53754073,3055.865471358387,78363207.05842243,719707671.6638172,7315.083153645196,20605211.38081047,190223237.6972771,1921.7347154685517
III - Central Luzon,poor,1242070.9054500007,17558.62417138519,3360197460.9348288,39521843653.00728,269102.26399851555,109577002.7879093,1370287188.4332075,7766.046926616688,5013702339.343269,53502781166.1313,488593.773737303,239773622.78397638,2595373627.1928787,23236.93106730575,1148361749.1887398,12306572672.312927,114635.50483105364,109450551.05935907,1174773738.5202498,10901.68353686895,73894316.79392925,794185113.9103978,7342.788764578394,6797954.900308481,73011722.4408053,665.3711942198627
V - Bicol,poor,2172414.55326,17092.96018713066,3233412497.066121,40075935016.50047,186685.8607642195,124235477.30721524,1546120199.9729567,7071.513463446117,15473579551.5376,179882936901.79993,1062024.0160315402,783311958.763811,9568737438.817757,50971.74017793592,1517481220.8714082,17355668598.279343,104444.04244606712,88808643.33766061,1046117210.4083406,6164.4512387988325,2021780260.3281403,23067713221.600433,140388.68292360246,308665655.71075106,3613810972.5733433,21383.445893916865
VI - Western Visayas,poor,1728396.827070002,17030.107853730773,2819145068.707103,33031038372.361877,165548.56625117228,99975753.79458532,1267146393.2186587,5225.861567019313,1247788134.0211174,13713880662.720354,89655.15042162394,59053695.88365703,644827751.9664305,4262.883544091541,658499919.2976929,7039228656.393126,47813.995524580394,44005386.673194036,493785877.3007093,3158.142458015313,609179240.466094,6370049166.213981,43143.8558011078,39298729.69711242,407750745.51884097,2799.317525111138
VII - Central Visayas,poor,2057478.6562499998,15855.750481069146,968685693.3534837,13396957641.142685,72871.86802330635,51925296.61749955,757867077.9906502,3576.136147883698,1846828035.837704,23893092784.055637,166788.50424762757,89036663.85882145,1148016276.7886806,8108.1138762510045,1753599375.8143706,22747640061.752697,161012.78754666136,153398703.92770404,2039276266.3016346,13967.172300041146,1229732235.4363997,16311251375.756708,111545.42996088797,59004914.9663915,781081332.637238,5374.815187904205
VIII - Eastern Visayas,poor,1756744.0932299998,15982.983361027163,3213489386.3844085,36494535359.49368,230230.7810840263,113235073.4037306,1281374889.4985576,8107.5576098405,6653486555.946992,70161337479.10786,569993.0778397628,352761348.7930289,3810756470.5235233,29778.36375515547,517929567.1450165,5651808475.341139,43977.3583967354,21466019.30372799,237762807.58415934,1835.6841378646495,1471331318.4913085,15848382220.663696,124237.9677447629,136310367.04157215,1404296836.1116488,11654.795660367807
IX - Zamboanga Peninsula,poor,1274657.2543300004,15788.137859245471,899754261.4316086,9708171264.482468,54851.194741707586,27957512.03766749,300278427.03910744,1716.1268530201414,19394256.02019567,206860968.05896884,1395.1597485825723,1544618.062912056,16122814.3492521,112.40392094806091,33141499.755609132,359221665.5019098,2419.066323006743,1545382.8515721941,16204915.538785273,111.51223052110778,156666.0454789829,1673024.5269101718,11.360352649534994,131437.74297831015,1381298.4872871994,9.558530135325219
X - Northern Mindanao,poor,1720472.2186700013,15208.56120250251,576284763.5677036,7478925550.401573,45580.766456998805,26097480.269337468,336955379.3900301,2062.776399500135,262703440.849323,3227774148.0133514,25200.68568208206,19382273.986652464,239170196.7388199,1817.9817761647746,147839065.0224139,1814527413.8666902,14178.082790896287,10827143.743319334,133329756.06763084,1030.3544937214128,1126286.6012097772,13401747.813380498,106.74547586705691,1282308.6767430976,16179148.27815777,121.86693781778084
XI - Davao,poor,1092200.2443500003,16801.62108563223,1928248613.6519766,23763039590.9946,122839.83314107846,64373452.28390305,798931961.8687568,4050.852781693549,33053929.476739556,392161403.76566625,2472.997117677564,2938516.8900789786,34400895.107383296,221.51868938735225,117532832.26066642,1417902545.5042458,8767.730084729737,4517329.989643917,53978530.06276613,338.8871430686889,1289441.6257582644,14940752.292772293,97.27291598566676,162892.57233569433,1971781.79665057,12.2039913159556
