region,segment,total_pop,c,dk_100_EQ,dw_100_EQ,affpop_100_EQ,dk_avg_EQ,dw_avg_EQ,affpop_avg_EQ,dk_100_HU,dw_100_HU,affpop_100_HU,dk_avg_HU,dw_avg_HU,affpop_avg_HU,dk_100_PF,dw_100_PF,affpop_100_PF,dk_avg_PF,dw_avg_PF,affpop_avg_PF,dk_100_SS,dw_100_SS,affpop_100_SS,dk_avg_SS,dw_avg_SS,affpop_avg_SS
XII - SOCCSKSARGEN,poor,1716648.8411199981,14483.588005833792,1733711147.1321952,28039822314.363297,128714.85359172731,65112710.24560877,1054286047.1701441,4810.071016915741,3997448.922601029,59197044.53126247,342.854627925375,502613.0093080753,7621701.488913655,43.489089099002975,12980273.969160851,209293297.3008947,1119.196300733875,918712.9493883813,14118288.351779336,78.99020348360175,0.0,0.0,0.01716648841119998,0.0,0.0,0.01716648841119998
NCR,poor,494630.28299000004,18235.35900668767,1242198514.4996266,14459107682.13414,90024.55420232491,39763148.10442445,499301968.3515678,2439.046069862131,911564968.8026129,9798653073.481104,80088.00104990209,41274661.745106034,434065093.96075565,3640.8151069183436,742777553.7024169,7479400338.599186,66541.10060262076,104398694.59813052,1075111195.2102616,9164.592232144241,34470109.37451043,361710951.90957683,3060.566820444128,864659.2147025892,8802335.292606745,76.65007344112401
CAR,poor,351589.9796599997,16903.082263341355,263043180.12504977,2674282105.400433,26750.03118883814,10175570.043308374,113282039.91919684,887.8321470309771,438345049.82822835,4185603154.1581855,55524.530112859444,26611953.826256596,250080940.80631325,3371.1673201468516,250229269.1066624,2152445632.905411,31873.90027149973,18184070.050207697,160622879.52375498,2306.49250683309,0.0,0.0,0.0035158997965999994,0.0,0.0,0.0035158997965999994
ARMM,poor,1990503.351059999,15349.404444695463,2225042658.340784,23950883722.55263,149814.01542870086,82498214.18181832,873096153.5328163,5540.17169374799,61707123.303631306,617926076.7056612,4775.197015564582,5323800.4903441705,51081602.67433342,413.5051501275384,166851115.53911042,1815646405.1333847,12939.063498075617,5701482.78313971,60941891.18561203,442.3954410247194,0.0,0.0,0.0,3561.260422907544,36020.80468554728,0.2785258648379002
XIII - Caraga,poor,1062312.18507,16062.579751161118,3080610835.160516,36321914929.75061,230478.14593336018,99593122.54380943,1178450218.1956666,7449.164477506442,744849333.920974,8889938015.267279,67829.28247523375,31369475.893005498,378586531.0050763,2817.641089366012,139133870.6630503,1555540809.2005732,12519.73178357854,5001877.861800941,56539100.966611974,449.84384504634005,68649692.14259103,755488983.1543756,6222.989073802579,5287200.904536441,57940971.59331717,476.25635347778433
IVA - CALABARZON,poor,1287966.0379000006,17587.344375103356,3152193871.666632,38265242638.635185,234920.72356813087,116924816.08164391,1557566496.033946,7374.713946525137,5596293512.310925,62829881716.39434,502578.6043948879,270684488.23979366,3144506956.852097,23072.37735936495,1205851516.3414028,13782525788.852999,108887.43969268262,115427992.70718537,1329875896.7237692,10313.813247414631,164830967.86567554,1804434084.8434453,14814.396356568024,16958397.89763272,187059622.02227053,1512.3137628177872
IVB - MIMAROPA,poor,754222.1383,16310.190060362138,839658492.7770116,9968882481.90961,49913.32732984149,32603651.425980728,380208916.0623383,1962.004630881379,1307793959.1332207,14755954810.771614,93830.29361837536,60922246.60264572,693599749.1245493,4373.842140407567,237785415.1090513,2513270393.2107987,16763.14667037147,9352058.96608441,101934643.10186808,668.5184622925924,130646744.11103879,1470697821.6445467,9245.046481961872,4425040.853891942,49604166.437325366,313.76587545760333
I - Ilocos,vulnerable,1704704.7190699999,29749.818209302524,11666521247.887123,48892324473.94562,573852.9608101627,379214998.77114356,2058737289.2554114,14470.50888060063,11088474183.267399,43162974388.70903,670735.1283634434,649583899.665784,2558222402.3958154,38772.143535208466,2460823055.112253,9214861895.613623,149629.18461424875,134757907.91547897,509571951.16057396,8116.116925550136,181194666.42747256,713625823.1832416,10979.668268085625,8119070.189957878,32104925.454954833,486.7953432085711
II - Cagayan Valley,vulnerable,1209800.93461,29718.753774325098,2936717102.370539,11699953255.754307,160772.18536875266,100671874.93026458,400740782.9253277,5489.5665674311085,13021244021.43148,47772056552.5369,883651.6266822475,920501256.5485184,3447224345.5359173,61230.977022618645,2371252545.878172,8296262280.88314,160678.2875974538,98487547.64711493,344803293.2670489,6677.899745935853,235704581.50804883,889964047.4878579,15985.452367283844,61407181.54188643,232966331.5344174,4199.514634549343
III - Central Luzon,vulnerable,2972178.626349999,30000.650710064794,12552922173.060396,61303176661.78288,643940.6911870386,415612853.79201996,2256861899.888722,18583.543487928848,18239029644.862732,81576102348.28488,1169166.7238140292,892170444.3681606,4053520257.998194,55604.1604043471,4327502172.440248,19432637047.410763,274313.8059064817,415362573.8427271,1895220124.834196,26086.876890312848,278562533.1160406,1249582253.4477472,17570.71977785038,25083119.54765254,112138769.86329186,1592.1812783568655
V - Bicol,vulnerable,2157844.5285499995,28729.987219280876,4343509573.462807,21600299673.631393,185433.78960668604,167171529.50342876,834779604.3289944,7024.085993516455,20088544346.617226,93086135089.39217,1054901.196801218,1028545551.25939,5022480758.44364,50629.88115623598,1991308978.4268055,9017918736.072474,103743.55354676042,116508362.98402163,540351619.7599789,6123.10728502256,2664102409.7710404,12002471236.017744,139447.11927216582,408000630.5929023,1868129478.7357113,21240.03066288198
VI - Western Visayas,vulnerable,2729578.183910002,29553.953180025328,6827705053.932366,32082508542.36836,261443.2911120349,242411309.12507772,1262452823.737042,8252.96454035434,2932986350.6081038,12490710114.484747,141588.28507044175,140753024.53325355,606141306.7615718,6732.177321932771,1576919412.8205974,6655449066.6777725,75510.45976560302,104841234.12379317,459759711.4459286,4987.510171314022,1426791156.0383322,5827566171.547513,68135.12135641824,92413908.23110119,375669499.10138744,4420.834340070702
VII - Central Visayas,vulnerable,2179981.0246800007,29801.164387456236,1640756469.6937568,7482800129.482792,77210.66220600944,87198347.53379805,414411696.7826501,3789.0594492327155,3040021714.016345,12833382699.473854,176719.09902447503,148917857.2286829,630195720.9957395,8590.87132810776,3005987047.2266984,12896603941.025757,170599.49590062923,257703205.37996766,1117752910.105981,14798.77834456919,2027123600.1405125,8729347600.56919,118186.84969870285,99392524.32060257,431680560.4292894,5694.831917308272
VIII - Eastern Visayas,vulnerable,1415261.49738,28598.270365444296,3853738261.7089705,15418021291.029894,185477.6465369259,136685292.29445875,545152261.9622082,6531.579737319894,7799175450.339599,28413650304.12473,459195.65629877034,411778334.4178166,1521541478.6386442,23989.93219334535,596037278.123966,2219787821.9679165,35428.87227299306,25173562.69017683,95044153.24211513,1478.856876014498,1706680132.967436,6238776240.525939,100088.11923119465,158862813.58573183,561509703.603033,9389.292169255368
IX - Zamboanga Peninsula,vulnerable,1226610.4436599999,28693.714908872265,1338490917.1837516,5719400925.2577,52783.6389655759,41852300.89952457,179496028.37696454,1651.4393288149754,28192463.66743359,116970383.591212,1342.5707282268336,2251728.9485931196,9137743.453961853,108.16697812283383,48539239.702949,206779665.8990773,2327.8822645276073,2227181.6469909633,9111684.98557771,107.30889899097552,228061.280343787,948956.3743547215,10.932136585143981,191208.2775729685,785260.9657169941,9.198231799333037
X - Northern Mindanao,vulnerable,1235348.5345600005,28962.95822506108,694617507.5379257,3058758293.507998,32728.301239472337,31082703.06159696,136590220.41881204,1481.132781218258,308183971.00955826,1274468426.246221,18094.817102791323,22688726.251940697,94720099.16714054,1305.3632012599855,174948098.76421186,725179858.4397959,10180.27121190243,12634239.558296645,52549509.3324336,739.8241599507046,1316961.0675690728,5326107.992627897,76.64632172045097,1488931.5506890563,6353523.927119514,87.50396630111845
XI - Davao,vulnerable,1540536.330769999,29840.24953971088,3981833827.960508,18364217484.35424,173264.22219597478,130890756.63497318,606123487.2025862,5713.682919484718,64737823.44423391,280747273.1634427,3488.1350058102785,5835219.196318993,25191319.634543866,312.4496544576981,230786611.38109657,1021568055.8726737,12366.786039266712,8951755.632586343,39216595.52082125,477.9965566102428,2608773.902406099,11210227.372717138,137.2023691177975,322143.12581671035,1422351.8506570356,17.213594393416393
XII - SOCCSKSARGEN,vulnerable,1410447.6388399994,29143.934922466768,2361657698.131935,11848507079.271914,105755.79407005668,89337811.10538693,445843055.5347347,3952.0915087299904,5147105.530856951,22263605.733774234,281.6991389498213,654396.3137264021,2909131.6075237235,35.731875713714096,16881660.634362347,79865584.08312774,919.5635950440776,1195643.4494391773,5405312.542615911,64.9006036215586,0.0,0.0,0.014104476388400003,0.0,0.0,0.014104476388400001
NCR,vulnerable,2461808.7255800012,31246.199510231225,8578446644.851314,38978966507.095985,448058.3592901725,277122622.30031574,1467655770.9128559,12139.298994355335,6069871418.419996,25514867026.367958,398603.4551040525,273789193.624296,1157063797.8909836,18120.58563065429,5079432779.778987,21469376539.22664,331179.6056703228,699938385.8647377,2934933549.2377896,45612.801923677405,231071202.54270434,960430485.0125891,15232.650249888411,5813460.789077165,24190053.55595059,381.4926544186575
CAR,vulnerable,446641.60203999985,29223.03511335186,553706808.1931397,2337885782.715186,33981.84668504057,21807679.379464492,104068772.9489846,1127.855728072795,948302249.4281254,3686913340.3148313,70535.47176204452,56302987.59776083,219070048.3049139,4282.555418875567,534905753.27279687,1872100599.2422264,40490.94315569732,38673869.901583865,141892707.66311884,2930.047976172141,0.0,0.0,0.004466416020400003,0.0,0.0,0.004466416020400003
ARMM,vulnerable,1227511.81902,28333.353757839548,2352479188.1575103,10889838656.41294,92387.92514247411,86766101.87543571,397859112.2648937,3416.535937934582,64177806.24593171,278360891.8209642,2944.7881972331634,5554660.631864017,22958463.480556272,255.00206203465598,174374468.62927735,805625202.0400922,7979.315062433811,5937920.553743674,27155980.228332568,272.8182458217018,0.0,0.0,0.0,3734.0894566740303,16316.101913935658,0.17176247947998777
XIII - Caraga,vulnerable,836291.1650499998,28986.576022574514,3753747725.722069,14759780342.549437,181440.8606905633,121705367.1563557,480780130.9681971,5864.2558440882785,907052073.9438769,3520310406.7107325,53397.70216603605,37327858.891611084,146253948.6460366,2218.1505422187956,164186734.1527377,596159666.8004,9855.99264185461,5948650.535452926,21991358.024081297,354.133595144243,83132287.03019351,298960164.89255506,4898.965535522734,6289808.059919783,22535136.31577726,374.9264917696071
IVA - CALABARZON,vulnerable,3671273.5576800006,30148.496433796157,12918158250.447021,60403836168.3926,669628.0920519854,478828828.5990891,2628513491.768168,21021.200490252173,21797325765.789448,92857929382.31395,1432571.5792778719,1051961188.8977063,4629521059.676264,65766.49260904494,4763242024.889753,20876177860.611187,310377.4217206958,453240655.465017,1982572287.242276,29398.93501836491,645146095.5956283,2720836165.065947,42227.58987149766,66093064.99573349,276627621.5612577,4310.763921540265
IVB - MIMAROPA,vulnerable,1000403.44273,29857.9404129674,1707472828.7152646,7835472033.797435,66205.24904165734,67833513.10190465,306359789.7074149,2602.4112628277303,2664620332.3357763,11108575509.147615,124456.89936888653,125290773.33900508,528881881.2632764,5801.4827635314505,481670273.9631077,1911910487.4823184,22234.708832369422,19198304.37889378,77350083.48126405,886.7257234234849,264094648.0273572,1106105117.245392,12262.668859866755,8946718.808165217,37227262.428287655,416.1803878184819
I - Ilocos,secure,2212971.56161,60395.60453130792,25619514512.8074,34736595717.857605,744950.2946829365,843034270.0546464,1614715693.6000962,18784.968608677398,24085011766.910587,30673379214.241673,870718.3994016857,1388960290.0315137,1782074289.8960748,50332.26579726154,5315010311.082937,6546885202.720469,194241.9274341366,289774097.58430153,359825686.622392,10535.980657543143,400285381.05641866,510869071.9461395,14253.315170289905,17480532.98314291,22528020.64862001,631.9359821051295
II - Cagayan Valley,secure,1405597.2927,59916.31000858301,6136794542.557547,7915186598.529626,186791.84486547773,210211245.0736116,271608598.7295854,6378.007889178076,26846463613.30624,32826609299.444405,1026663.3944657325,1919823076.839155,2387446894.9670215,71140.70841754925,4981618904.760787,5911807289.908148,186682.75051007408,205776389.45201108,240500612.2696443,7758.663045532641,486887087.709857,615791243.3371246,18572.56671510365,130285743.6582947,163814366.66954565,4879.171632380543
III - Central Luzon,secure,5565064.342409998,61227.20829137264,42509754953.61162,61836375489.60668,1205705.2518248744,1395970713.769213,2305698303.381257,34795.55848475439,60948589021.85773,81731625982.26709,2189130.8911739555,2949123867.487601,4007881779.588047,104112.4270299623,14362372570.43079,19343440755.31438,513621.20915177296,1357367719.2007937,1859280594.5633643,48844.691600989994,921727801.6202818,1246156453.8463726,32899.16199494216,83219551.39105058,112618472.6948227,2981.177234868239
V - Bicol,secure,1375046.1398600005,60102.65236120004,4430446138.953534,6836947639.1990385,118164.22046384543,170382022.4854042,259975773.32023197,4475.96766293429,20348431216.239822,28907527649.307606,672216.0931445428,1032394189.7683789,1545167190.8877943,32262.946530366607,1951069769.0301826,2754774304.949923,66108.64265355097,116564193.97238624,167477176.14634,3901.835801801984,2686593205.866507,3746652940.2564783,88860.07334302053,405090650.9865593,578003944.0649059,13534.812998381034
VI - Western Visayas,secure,2578864.9665899994,61772.41859173524,10110198518.112806,15627527819.003157,247007.7421387566,364007259.87704694,628564921.8856951,7797.278439975648,4456662201.347836,6394644444.245501,133770.5108430628,210745971.99529293,303385326.5600027,6360.461241500224,2360674839.727867,3311534897.28457,71341.16195993082,155823548.0753418,227327040.85801977,4712.125605022456,2128981945.8403385,2920139435.2153316,64373.05166643981,139301350.9092562,190058009.27004808,4176.738688017833
VII - Central Visayas,secure,2450184.360130001,59798.24857635781,3133479374.7702975,4512532984.785329,86780.7356259969,167188569.53605035,250711518.90894693,4258.7041341222575,5748501624.309438,7769061850.630667,198623.00068854663,280514888.6488882,377355990.04243654,9655.688893488741,5564362174.14119,7483056986.720577,191744.88767081912,486067555.0139525,668621342.7334362,16633.050856126843,3778930313.9517465,5253929838.265379,132835.82170046837,185763323.60420695,254977997.0884793,6400.692455296065
VIII - Eastern Visayas,secure,1054547.1101700002,61312.064609481,4721545880.632706,5900403813.73904,138204.08208570824,165239821.09806985,208716217.66215867,4866.845137514699,9312327353.668129,11076729019.918818,342158.28894443874,491190382.38335216,585738628.2244284,17875.504784451776,718163085.2005322,872523698.6918447,26398.948138723572,30167156.92292914,36808194.47559983,1101.933634062107,2023780929.7233772,2383422877.287728,74578.18720639366,192654710.10068065,221487726.2481353,6996.198894663712
IX - Zamboanga Peninsula,secure,976721.6918099995,61891.404201593214,1702339202.4847548,2329857242.373372,42030.39801007583,52459135.460994974,72210988.31106257,1315.0031646142043,34577663.71875123,46515925.72250485,1069.0582000390796,2761112.0010814797,3670620.572844414,86.1308775057145,59750604.701451235,81694279.08682929,1853.6391203058583,2733963.7225325103,3623996.2992208498,85.44760882354453,275850.1717641818,369926.484493486,8.705008991020412,238069.15850727668,318344.79306697485,7.324340479197305
X - Northern Mindanao,secure,1289983.3694900004,59782.49502237568,1239186818.3109286,1628062751.504347,34175.75131994274,55014679.85830658,73327253.81511638,1546.6377320458344,548477343.3919578,686814148.0308158,18895.08303409927,39661843.83387141,50439874.069965325,1363.0945224453367,299897642.073742,379569620.3398219,10630.506446449432,22087905.320826136,28250262.185124833,772.5438092847525,2278654.290741315,2862604.781825764,80.03610121833164,2626092.2743834676,3438538.2850582013,91.37393871848545
XI - Davao,secure,1772494.679239999,60783.98439568068,7429317235.527258,11270246069.16196,199352.59286713533,242682981.91877437,367844706.64091307,6573.991389472236,119502447.38215241,169920591.99200356,4013.3430252691546,10651566.630118363,15060361.077918299,359.4951569755157,424169038.1453883,611940730.0803778,14228.851352660758,16294277.3661182,23285517.756815664,549.9684339565175,4734427.322950116,6626636.256477177,157.86091141314762,586406.1944822685,844581.3214424816,19.80544298989421
XII - SOCCSKSARGEN,secure,1184920.6884400002,58327.707289132275,3210017762.972393,4807460825.773369,88845.71455560846,119519806.05872986,179965183.92805406,3320.1622395239033,7006912.03327944,9401219.06111039,236.6561710379394,881830.0116843304,1210967.405208527,30.01844067374813,22475277.525500085,32728232.86586428,772.5277409093494,1590850.4125988665,2220620.7569403723,54.523163998257836,0.0,0.0,0.011849206884399992,0.0,0.0,0.011849206884399993
NCR,secure,7042951.452199998,64551.316856362464,46496913323.59374,68103822307.42277,1281843.4021471753,1524264775.885509,2703462232.7752647,34729.13739910559,32879412514.08751,44879018302.163025,1140358.6126763823,1494014722.4497411,2050893784.496091,51840.91012272426,27513096981.34049,37729111376.13784,947466.7387675678,3765618341.117826,5129867027.196259,130492.97705758581,1246852464.8301425,1699287159.2517815,43578.85934985881,31416941.626263082,42482318.15059761,1091.4065810732327
CAR,secure,708642.0765400003,61257.3426047111,1830034931.1310115,2433539493.2442284,53915.63680938616,72381673.50322726,106074490.03654888,1789.457187885199,3042778379.6011596,3649178580.1923456,111911.6601563399,186714007.76558316,225992875.72337368,6794.707324773171,1772160722.1763802,1949074990.487663,64242.97671300824,127853935.96403044,145949141.45237634,4648.817469561414,0.0,0.0,0.007086420765400001,0.0,0.0,0.0070864207654
ARMM,secure,459963.29282000026,49705.29791994793,1279636624.9528577,1995034435.6584961,34618.85548219532,47023486.72028119,72266635.64364961,1280.2166917666586,33278107.892247986,49313905.50748587,1103.447196898045,2824125.1426463407,3996031.6163050346,95.55230859039017,88127778.14336869,137968352.9497633,2989.944352222555,3044250.618833649,4729706.607586483,102.2282447672967,0.0,0.0,0.0,1905.4919944543806,2878.832287948312,0.06436144599211846
XIII - Caraga,secure,630688.85258,60295.12003294975,4740110277.021192,5954336570.5817995,136833.59698439162,153596414.9120087,193394590.84600708,4422.527636439244,1124057229.8873136,1385686763.4463,40269.868817151015,46378220.90998487,58058265.467791386,1672.8178878202498,207442072.29363605,242545483.31206048,7432.895324150139,7486588.302543449,8890018.51058685,267.0697959223322,103571606.9672658,120528928.56904507,3694.5540997591124,7921276.772134269,9172931.940970272,282.7507556915071
IVA - CALABARZON,secure,7097801.364199991,63537.312421664676,44244103151.7629,61261884910.369774,1294615.3727309634,1659112530.5063093,2749899308.7552576,40641.020935285705,76368627627.42946,98296255667.06624,2769640.6573794438,3618785862.8323417,4776505984.682079,127148.65662424605,16337657440.235746,21463894856.19257,600063.5073073043,1555455820.4354892,2044806557.4447067,56837.9876358879,2203601966.293718,2778813003.244834,81640.07402003552,227814566.2750501,287864282.1521512,8334.150414655533
IVB - MIMAROPA,secure,994392.6613399996,60291.74449785123,2834523228.6724186,4244373111.1297383,65807.4642461812,110389109.61230296,164122744.63590983,2586.7750459580197,4242969982.3855343,5894401989.321393,123709.11784132362,198587748.96256137,276895660.62222373,5766.625381859232,769058467.6800852,1004724438.6270114,22101.114755866674,30455681.759136252,40564825.5049545,881.3979583951641,411436660.98733723,569369066.1839421,12188.990363145991,14112364.03541479,19435292.582528003,413.67982732145305
I - Ilocos,middleclass,547237.0422400004,174908.85435166207,16470452029.258541,4143548331.19227,184215.83130581139,558320121.5447882,208001274.74872485,4645.261077148678,15228396037.663586,3820172120.352088,215316.53175238537,902609019.0646994,228306180.52613303,12446.468242950259,3527795102.069171,846950483.7009727,48033.323017815856,192167382.15157306,46609426.56776815,2605.401258720677,251369977.2268132,64530170.714521125,3524.6463041889638,11285470.723039912,2839086.877215337,156.2689660054407
II - Cagayan Valley,middleclass,328886.5557600002,195065.98919170347,4185092987.9560156,979005453.3361757,43706.20719100594,140884638.55026302,33002479.63157369,1492.348525552824,17731783189.505955,4101315498.9171963,240222.28093660084,1287763993.1530268,296554333.9953619,16645.751017939645,3323864731.6581097,734791594.4558041,43680.68091332464,138463087.255322,30600087.20350688,1815.3990332793298,328262125.16014445,76712761.53631012,4345.673921169802,87262921.70151731,20116002.821556404,1141.645591855894
III - Central Luzon,middleclass,1319586.4310100016,186027.453420165,26569167139.414536,6696195246.797412,285896.4770597046,887509182.3355676,254287768.41078007,8250.71266220303,38483416013.87213,9341217466.233168,519086.0773492845,1876966358.9375858,464430594.4497325,24687.108280361972,9260832305.972929,2284293231.5453906,121789.71105698221,858728593.5494493,214917615.0328711,11582.039002198075,596151750.5572172,144774997.90975663,7801.039680580764,53032126.92362695,13036350.976629552,706.8958749656463
V - Bicol,middleclass,326794.5421400001,177803.89668718012,2430885238.799944,626513784.0413897,28083.00114768806,95842108.83580878,24226948.054347336,1063.7619790641963,11573606055.224178,2820539675.7284684,159759.40298314407,577440005.8187178,144976557.89899328,7667.6371314724975,1116256871.3057263,270229481.0602048,15711.431770328554,66502317.09802427,16319897.43481952,927.3133514524559,1564449184.048646,374826538.4522909,21118.554600368414,229898730.63004303,56108359.86089969,3216.694253770119
VI - Western Visayas,middleclass,667559.5014699998,214012.04122008698,7093606702.91249,1720941771.8709555,63939.89888482373,256233850.04868567,65862723.8982967,2018.386916588201,3061367713.553077,740142738.8862859,34627.549982914454,144767089.00662476,34341592.280311614,1646.455471885199,1688812737.3444295,379025227.3193195,18467.221482804172,109400512.16725266,25926819.371415175,1219.770814100527,1482924895.8898025,326032179.32197785,16663.47126944515,95661883.81980261,21538093.031719998,1081.1816952286865
VII - Central Visayas,middleclass,759155.7419499998,193392.6257087345,2538028496.440752,646708867.3586417,26887.810898288924,138077145.5773242,36539621.13528112,1319.500585055396,4770234112.496276,1186403444.5890775,61540.59013259251,232556136.22931427,57210204.568778925,2991.6816812861784,4576646900.432471,1134094937.2549322,59409.50192708638,393225126.95615244,97661791.9895485,5153.520799922625,3201368559.250783,816724193.7540321,41157.342452062025,152362843.31064704,38651480.734676935,1983.1660461812126
VIII - Eastern Visayas,middleclass,310647.5598199999,201028.03527368244,4433955859.932783,779913630.9351461,40712.03689531438,151512483.8530081,27297392.94741098,1433.6709582818442,7906231727.0483,1407519225.5567281,100792.68769286324,450191427.67643934,76578603.47509423,5265.750470783145,662013170.8134756,116760764.08725142,7776.578914323879,27262875.07793793,4852399.593006977,324.6066403328299,1838873853.1539667,328240682.9878006,21969.176766062716,172575668.3111283,28356057.930808637,2060.934114448718
IX - Zamboanga Peninsula,middleclass,286710.1954399999,188234.30234283343,1228301666.6551445,298267243.7531365,12337.745469293843,39152970.51429796,9223405.79526986,386.01048537386146,26794781.053798616,6356145.756414447,313.8149669860756,2054087.5368565517,475106.0179796664,25.283149673188486,42859012.54649361,10642234.227578389,544.1235091986731,2058385.257341275,484261.535731295,25.0825806686853,201224.60640561176,47319.372526035,2.55529783975344,174579.64358080627,40998.61918151138,2.150011725825647
X - Northern Mindanao,middleclass,460895.83608000027,174011.18875329246,1166795613.0605774,282130478.4233354,12210.592671822274,52162521.94980418,12765573.194293246,552.5954112927548,491370463.1093197,119720905.82785654,6750.990205590949,36735227.434121475,8786091.611819182,487.0175883173519,282871024.155165,69360821.34595802,3798.154513051746,20164804.349341847,4846650.303743871,276.0207870195215,2110323.5064752693,492175.29749365937,28.5959545371429,2431180.524188528,593391.0783295215,32.64683008915756
